Company,Link,Description
52°North Initiative for Geospatial Open Source Software GmbH,https://52north.org/,"52°North is an international research and development partner network with partners from academia, the public sector and industry. Our goal is to foster innovation in the field of geoinformatics by organizing and facilitating a collaborative software development process. The topics we address comprise for example sensor web technologies, the web of things, linked open data, spatial data infrastructures, citizen science, earth observation, and 3D. This selection of topics reflects both the strengths and strategies of the partners involved. Some of our software projects are enviroCar, 52°North SOS, 52°North JavaScript Sensor Web Client, ILWIS, and 52°North WPS. Check out our GitHub organization and our Ohloh page to learn more about the wide range of software our communities work on: from mobile apps to standardized web services, from cutting edge research to established products. 52°North open source projects are used in a broad range of domains (e.g. oceanology, air quality, hydrology, traffic planning) and operational as well as research projects (e.g. European Horizon 2020 projects such as NeXOS, FixO3, WaterInnEU, ODIP II). All of the 52°North software is published under an OSI approved open source license. 52°North GmbH, which is the legal body and service center of the network, acts as a non-profit organization. This means that the shareholders of 52°North do not receive profit shares or payments from company funds. Instead, the profits earned by 52°North are completely re-invested into the innovation and software development process."
AboutCode.org,https://aboutcode.org,"Open Source for Open Source
AboutCode is a set of open source tools to discover and manage important information about your software. Our primary focus is to solve the problem of discovering, identifying, tracking and managing open source and third-party components used in your products, applications and systems. The AboutCode tools are designed to be modular so that a software development team can quickly implement a workflow tailored for its set of languages, technologies and tools."
AerospaceResearch.net,http://www.aerospaceresearch.net,"We are AerospaceResearch.net, a small team of space makers solving space problems together with the Small Satellite Student Society University of Stuttgart (KSat e.V.) and the ep2lab of Charles III University of Madrid.
In 2011, we started as a student group at the University of Stuttgart to provide massive computing power with our distributed computting platform Constellation to everyone needing it for space simulations. Over time, we attracted international young professionals of the space industry and the local maker community and thus becoming a full fletched citizen science project.
We are a community of several different Teams in Stuttgart and globally working together on space projects. Together with KSat e.V. (the Small Satellite Student Society) from the University of Stuttgart and the Distributed Ground Station Network Team at the Institute for Photogrammetry we are working on the rover mission ROACH crawling for maintenance reasons on the outer hull of a sounding rocket while coasting in near space or tracking cubesats faster than US NORAD. With the Cosmic Dust Team of the Institute for Space Systems at University of Stuttgart we are simulating cometary dust particles for the IMEX project of the European Space Agency (ESA). And now with our newest umbrella team, the ep2lab of Charles III University of Madrid, we are also involved in simulating and building propulsion systems for space applications.
We are a small organization but having impact within our space community by helping realizing space exploration by creativity and open access. We are open for everybody interested in space for the betterment of everybody. We believe everyone can be involved in space and making space together!"
aimacode,https://github.com/aimacode,"Python, Java, and Javascript code for the book ""Artificial Intelligence: A Modern Approach."" Includes implementations of all the algorithms in the book, now switching over to the upcoming 4th edition. Also includes tutorial examples of usage of the algorithms."
Amahi,https://www.amahi.org,"The Amahi Linux Home Server makes your home networking and storage simple. We like to call the Amahi servers HDAs, for ""Home Digital Assistants."" Each HDA delivers all the functionality you would want in a home server, while being easy to use from a web browser and mobile apps.
Amahi can turn popular Linux distributions into a simple to use networking, storage and app server. The server management is done through a friendly user interface (the ""platform”). The platform allows controlling users login and storage access permissions, managing some network services like DHCP and DNS, as well as providing many apps that the users can install. The platform web interface is implemented in Ruby on Rails and runs in the web server along with other apps.
The installation process is done by installing the base distribution (Fedora at the moment) and after that, running the Amahi installer at the command line.
Once the installation is complete, the network services kick in, storage can be used and applications are installed by users. Some applications are Plugins (developed as an RoR ""engine"") and some are very popular open source apps and services."
Android Graphics Tools Team,https://github.com/google/graphicsfuzz,"Graphics programming is challenging, as is writing fast and reliable graphics drivers.
The Android Graphics Tools team is building and maintaining a suite of tools to help driver makers build fast and reliable drivers - including fuzzing tools to help find bugs early, bug capture and triage tools to help diagnose and fix problems that arise in the wild, and performance analysis tools to help get a handle on bottlenecks.
The team is also focusing on tools to help game developers get to grips with the difficulty of programming modern graphics stacks in Vulkan and OpenGL ES, including debugging and profiling tools.
In addition, a goal of the team is to deliver tools that make it easier for game developers to communicate driver bugs and performance problems to driver makers, via small reproducible tests that can be added to regression test suites. The aim here is to avoid the situation today where game developers tolerate and work around driver bugs, due to the difficulty of identifying the root cause of a problem and isolating a stand-alone repro test."
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,"We are an Australian not-for-profit umbrella organization for open-source projects. We believe the open-source philosophy provides a resource-efficient channel to transfer knowledge and achieve innovation and education.
In 2019, we offer the following projects:
Agora: An electronic voting library.
Agora-Web: An online portal for democratic elections.
Computational Philosophy: Formalization of philosophical theories and arguments towards computer-assisted metaphysics.
Carbon Assistant: Provides conversational access to the CarbonFootprint API.
CarbonFootprint: A browser extension to track the C02 emissions.
CarbonFootprint API: A universal API to find the C02 emissions.
CarbonFootprint-Mobile: A cross-platform app to monitor and track their C02 emissions.
CrowdAlert: Platform to report and view the incidents around the globe.
Mind the Word: A browser extension that helps users to learn new languages.
Scavenger: An automated theorem prover for first-order logic.
Social Street Smart: An extension that makes the Internet a more productive.
Starcross: Starcross Android App brings the facility of Night Sky Gazing.
We have a diverse group of mentors, including GSoC students from previous years who decided to become long-term contributors as well as academics with extensive experience in supervising undergraduate, M.Sc. and Ph.D. students on theses and projects, whose results are often published and presented in the most prestigious conferences of our research fields.
We are looking for excellent students of any level (undergraduate, M.Sc., or Ph.D.), who are interested in becoming long-term collaborators in our projects and in joining the open-source approach to software development. We will evaluate student applications solely on the basis of programming skills, academic merit and the feasibility of the proposals.
If you are a prospective student interested in doing your Google Summer of Code (GSoC) project with us, please follow the instructions on our website."
Apertium,http://wiki.apertium.org,"Apertium is a shallow-transfer machine translation system, which uses finite state transducers for all of its lexical transformations, and hidden Markov models and/or constraint grammars for part-of-speech tagging or word category disambiguation.
Existing machine translation systems available at present are mostly commercial, use proprietary technologies, which makes them very hard to adapt to new usages; furthermore, they use different technologies across language pairs, which makes it very difficult, for instance, to integrate them in a single multilingual content management system. Finally, most of them are not available for most of the languages in the world, as they rely heavily on resources that are not available for them.
Apertium uses a language-independent specification, to allow for the ease of contributing to Apertium, more efficient development, and enhancing the project's overall growth.
At present, Apertium has released more than 40 stable language pairs, delivering fast translation with reasonably intelligible results. Being an open-source project, Apertium provides tools for potential developers to build their own language pair and contribute to the project."
apertus° Association,http://www.apertus.org,"The goal of the award winning apertus° project is to create free and open technology for todays professional cinema and film production landscape and make all the generated knowledge freely available. It all started with creating an open modular camera system consisting of several hardware and software parts using Elphel hardware. Now with the efforts to build the very first open digital cinema camera AXIOM from scratch the apertus° project has evolved to the next level: into a platform for film-makers, creative industry professionals, artists and enthusiasts. apertus° is more than just a software/hardware collection, it's a knowledge library, an ecosystem of people supporting each other and advocating freedom."
API Client Tools at Google,https://googleapis.github.io,"As much as we'd like, we can't provide every developer using every language with the kind of shrink-wrapped experience that we'd like! So we work with standard API formats and have standardized our own practices to make it easier for contributors anywhere to make great API consumption experiences for users of any idiom in any language. We're especially interested in supporting projects that build on the Protocol Buffers and OpenAPI description formats."
